         time,   Ax,   Ay,   Az,    T,   Gx,   Gy,   Gz,
1555086216969,00073,00039,02154,03727,00024,65535,00039,
1555086216971,00074,00038,02159,03719,00022,65535,00038,
1555086217044,00072,00040,02152,03723,00022,65529,00036,
1555086217118,00073,00040,02163,03720,00023,65530,00035,
1555086217120,00069,00037,02163,03717,00023,65531,00035,
1555086217121,00066,00042,02158,03718,00022,65531,00036,
1555086217194,00068,00045,02159,03724,00020,65532,00037,
1555086217195,00070,00042,02164,03724,00020,65533,00037,
1555086217268,00056,00042,02155,03733,00024,65534,00038,
1555086217270,00073,00028,02155,03730,00023,65533,00037,
1555086217271,00065,00030,02153,03730,00022,65533,00037,
1555086217344,00063,00042,02150,03725,00022,65532,00036,
1555086217345,00065,00042,02159,03727,00022,65531,00036,
1555086217418,00067,00035,02160,03726,00022,65533,00038,
1555086217420,00074,00037,02155,03722,00023,65534,00037,
1555086217421,00073,00035,02152,03724,00023,65534,00037,
1555086217494,00067,00048,02164,03729,00021,65533,00035,
1555086217495,00064,00040,02148,03725,00021,65532,00035,
1555086217568,00064,00040,02152,03719,00022,65530,00035,
1555086217570,00068,00043,02150,03721,00022,65529,00036,
1555086217643,00062,00035,02165,03726,00022,65531,00038,
1555086217645,00065,00035,02150,03717,00022,65532,00039,
1555086217646,00070,00037,02147,03716,00022,65533,00039,
1555086217719,00071,00040,02149,03717,00023,65533,00037,
1555086217720,00072,00042,02151,03720,00024,65532,00038,
1555086217793,00060,00030,02156,03725,00022,65534,00037,
1555086217795,00069,00039,02146,03726,00022,65533,00038,
1555086217870,00076,00042,02162,03731,00023,65533,00038,
1555086217871,00073,00043,02163,03731,00023,65534,00038,
1555086217944,00062,00044,02162,03718,00021,65534,00037,
1555086217945,00066,00044,02165,03718,00021,65534,00038,
1555086218018,00073,00036,02160,03721,00022,65531,00036,
1555086218020,00081,00034,02152,03727,00022,65531,00036,
1555086218021,00073,00032,02143,03725,00022,65531,00036,
1555086218094,00070,00036,02150,03734,00021,65531,00035,
1555086218095,00062,00036,02154,03735,00021,65532,00035,
1555086218168,00070,00044,02161,03727,00022,65532,00038,
1555086218170,00069,00042,02161,03729,00022,65533,00037,
1555086218171,00076,00035,02153,03727,00022,65532,00036,
1555086218245,00066,00041,02155,03727,00021,65534,00038,
1555086218246,00069,00037,02146,03726,00022,65535,00038,
1555086218319,00071,00043,02158,03728,00021,65529,00037,
1555086218320,00077,00040,02156,03729,00021,65530,00037,
1555086218393,00076,00028,02163,03731,00023,65534,00038,
1555086218395,00070,00039,02165,03729,00024,65535,00038,
1555086218396,00068,00046,02155,03732,00023,65535,00038,
1555086218469,00065,00047,02148,03739,00021,65533,00038,
1555086218470,00062,00044,02149,03740,00022,65533,00039,
1555086218543,00073,00042,02152,03728,00022,65532,00038,
1555086218545,00071,00034,02145,03729,00021,65532,00038,
1555086218546,00069,00031,02149,03727,00022,65532,00038,
1555086218619,00065,00036,02155,03730,00022,00000,00038,
1555086218620,00070,00043,02147,03728,00022,00000,00037,
1555086218693,00075,00043,02157,03732,00022,65532,00037,
1555086218695,00070,00046,02143,03730,00023,65531,00037,
1555086218696,00068,00049,02146,03725,00023,65530,00037,
1555086218769,00066,00042,02146,03734,00022,65535,00038,
1555086218770,00064,00037,02149,03733,00022,65535,00038,
1555086218919,00078,00036,02158,03729,00020,65528,00034,
1555086218920,00080,00038,02169,03732,00020,65528,00034,
1555086218993,00073,00045,02156,03729,00022,65533,00038,
1555086218995,00071,00036,02159,03731,00021,65532,00037,
1555086218996,00070,00031,02157,03732,00021,65531,00037,
1555086219069,00065,00042,02150,03731,00022,65534,00041,
1555086219070,00067,00037,02158,03733,00022,65533,00040,
1555086219143,00065,00038,02156,03719,00022,65531,00036,
1555086219220,00063,00041,02161,03729,00022,65535,00038,
1555086219221,00069,00037,02167,03730,00022,65535,00038,
1555086219294,00063,00032,02162,03737,00021,65529,00035,
1555086219295,00069,00034,02153,03740,00020,65529,00035,
1555086219368,00056,00040,02145,03728,00023,65530,00038,
1555086219370,00068,00038,02144,03731,00023,65530,00036,
1555086219371,00068,00033,02146,03734,00023,65530,00035,
1555086219444,00077,00043,02158,03730,00023,65534,00038,
